Deal_Name,Year,C1_Parent_ROA,C2_Parent Firm Innovation Quality,C3_Geopol_Alignment,C4_JV_Duration,C5_Parent Firm Technological Capability,C6_US_Ownership_Pct,C7_Log_Parent_Assets,C7_Filled,C7_is_imputed,Employee_count,C8_Parent_Firm_Age_Recalculated,Parent_Firm_Funding_Year,C9_R&D_Intensity,C9_is_imputed,C9_filled,SIC,C10_Cultural_Distance,status,CUSIP,X1 Tech_Sensitivity,X2 Strategic_Decoupling,Death_Event,Post_Trade_War,ln_Parent_Patents,Dynamic_Strategic_Decoupling
SHANGHAI PUDONG DEVELOPMENT/SILICON VALLEY BANK-JOINT VENTURE,2015,0.009075,7.75,1,3,20,0.5,10.5799,10.5799,0,,32,1983,0,1,,6029,3.65,1,78486Q,1,1,0,0,3.044522438,1
SHANGHAI PUDONG DEVELOPMENT/SILICON VALLEY BANK-JOINT VENTURE,2016,0.008571,7.75,1,4,20,0.5,10.7074,10.7074,0,,33,1983,0,1,,6029,3.65,1,78486Q,1,1,0,0,3.044522438,1
SHANGHAI PUDONG DEVELOPMENT/SILICON VALLEY BANK-JOINT VENTURE,2017,0.009587,7.75,1,5,20,0.5,10.8438,10.8438,0,,34,1983,0,1,,6029,3.65,1,78486Q,1,1,0,0,3.044522438,1
SHANGHAI PUDONG DEVELOPMENT/SILICON VALLEY BANK-JOINT VENTURE,2018,0.017109,7.75,0,6,20,0.5,10.9496,10.9496,0,,35,1983,0,1,,6029,3.65,1,78486Q,1,1,0,1,3.044522438,1
SHANGHAI PUDONG DEVELOPMENT/SILICON VALLEY BANK-JOINT VENTURE,2019,0.016488,7.75,0,7,20,0.5,11.1708,11.1708,0,,36,1983,0,1,,6029,3.65,1,78486Q,1,1,0,1,3.044522438,1
SHANGHAI PUDONG DEVELOPMENT/SILICON VALLEY BANK-JOINT VENTURE,2020,0.010501,7.75,0,8,20,0.5,11.6571,11.6571,0,,37,1983,0,1,,6029,3.65,1,78486Q,1,1,0,1,3.044522438,1
SHANGHAI PUDONG DEVELOPMENT/SILICON VALLEY BANK-JOINT VENTURE,2021,0.008519,7.75,0,9,20,0.5,12.261,12.261,0,,38,1983,0,1,,6029,3.65,1,78486Q,1,1,0,1,3.044522438,1
SHANGHAI PUDONG DEVELOPMENT/SILICON VALLEY BANK-JOINT VENTURE,2022,0.007082,7.75,0,10,20,0.5,12.2633,12.2633,0,,39,1983,0,1,,6029,3.65,1,78486Q,1,1,0,1,3.044522438,1
SHANGHAI PUDONG DEVELOPMENT/SILICON VALLEY BANK-JOINT VENTURE,2023,,7.75,0,11,20,0.5,,,0,,40,1983,0,1,,6029,3.65,1,78486Q,1,1,0,1,3.044522438,1
SHANGHAI PUDONG DEVELOPMENT/SILICON VALLEY BANK-JOINT VENTURE,2024,,7.75,0,11,20,0.5,,,0,,41,1983,0,1,,6029,3.65,0,78486Q,1,1,1,1,3.044522438,1
ROCKWELL COLLINS INC/CHINA LEIHUA ELECTRONIC TECHNOLOGY RESEARCH INSTITUTE-JOINT VENTURE,2015,0.092840709,3.276956932,1,2,3181,0.5,8.907747687,8.907747687,0,,82,1933,0.051868802,0,0.051868802,3812,3.65,1,774341,1,0.861364351,0,0,8.065265209,0.303030303
ROCKWELL COLLINS INC/CHINA LEIHUA ELECTRONIC TECHNOLOGY RESEARCH INSTITUTE-JOINT VENTURE,2016,0.094459582,3.276956932,1,3,3181,0.5,8.949884286,8.949884286,0,,83,1933,0.042593649,0,0.042593649,3812,3.65,1,774341,1,0.861364351,0,0,8.065265209,0.602272727
ROCKWELL COLLINS INC/CHINA LEIHUA ELECTRONIC TECHNOLOGY RESEARCH INSTITUTE-JOINT VENTURE,2017,0.039173196,3.276956932,1,4,3181,0.5,9.797960356,9.797960356,0,,84,1933,0.047933157,0,0.047933157,3812,3.65,1,774341,1,0.861364351,0,0,8.065265209,0.668181818
ROCKWELL COLLINS INC/CHINA LEIHUA ELECTRONIC TECHNOLOGY RESEARCH INSTITUTE-JOINT VENTURE,2018,0.054241564,3.276956932,0,5,3181,0.5,9.853561744,9.853561744,0,,85,1933,0.057934218,0,0.057934218,3812,3.65,1,774341,1,0.861364351,0,1,8.065265209,0.730205279
ROCKWELL COLLINS INC/CHINA LEIHUA ELECTRONIC TECHNOLOGY RESEARCH INSTITUTE-JOINT VENTURE,2019,,3.276956932,0,6,3181,0.5,,,0,,86,1933,0.050082457,0,0.050082457,3812,3.65,1,774341,1,0.861364351,0,1,8.065265209,0.630393996
ROCKWELL COLLINS INC/CHINA LEIHUA ELECTRONIC TECHNOLOGY RESEARCH INSTITUTE-JOINT VENTURE,2020,,3.276956932,0,7,3181,0.5,,,0,,87,1933,0.050082457,0,0.050082457,3812,3.65,1,774341,1,0.861364351,0,1,8.065265209,0.654879774
ROCKWELL COLLINS INC/CHINA LEIHUA ELECTRONIC TECHNOLOGY RESEARCH INSTITUTE-JOINT VENTURE,2021,,3.276956932,0,8,3181,0.5,,,0,,88,1933,0.050082457,0,0.050082457,3812,3.65,1,774341,1,0.861364351,0,1,8.065265209,0.747826087
ROCKWELL COLLINS INC/CHINA LEIHUA ELECTRONIC TECHNOLOGY RESEARCH INSTITUTE-JOINT VENTURE,2022,,3.276956932,0,9,3181,0.5,,,0,,89,1933,0.050082457,0,0.050082457,3812,3.65,1,774341,1,0.861364351,0,1,8.065265209,0.861003861
ROCKWELL COLLINS INC/CHINA LEIHUA ELECTRONIC TECHNOLOGY RESEARCH INSTITUTE-JOINT VENTURE,2023,,3.276956932,0,10,3181,0.5,,,0,,90,1933,0.050082457,0,0.050082457,3812,3.65,1,774341,1,0.861364351,0,1,8.065265209,0.922316384
ROCKWELL COLLINS INC/CHINA LEIHUA ELECTRONIC TECHNOLOGY RESEARCH INSTITUTE-JOINT VENTURE,2024,,3.276956932,0,11,3181,0.5,,,0,,91,1933,0.050082457,0,0.050082457,3812,3.65,1,774341,1,0.861364351,0,1,8.065265209,0.947249435
ECOTALITY INC/CHANGCHUN ECO-POWER TECHNOLOGY CO LTD-JOINT VENTURE,2015,,23.275,1,2,40,0.49,,12.5115383,1,10,16,1999,,1,,3699,3.65,0,27922Y,1,1,0,0,3.7136,1
ECOTALITY INC/CHANGCHUN ECO-POWER TECHNOLOGY CO LTD-JOINT VENTURE,2016,,23.275,1,2,40,0.49,,12.5115383,1,10,17,1999,,1,,3699,3.65,0,27922Y,1,1,0,0,3.7136,1
ECOTALITY INC/CHANGCHUN ECO-POWER TECHNOLOGY CO LTD-JOINT VENTURE,2017,,23.275,1,2,40,0.49,,12.5115383,1,10,18,1999,,1,,3699,3.65,0,27922Y,1,1,0,0,3.7136,1
ECOTALITY INC/CHANGCHUN ECO-POWER TECHNOLOGY CO LTD-JOINT VENTURE,2018,,23.275,0,2,40,0.49,,12.5115383,1,10,19,1999,,1,,3699,3.65,0,27922Y,1,1,0,1,3.7136,1
ECOTALITY INC/CHANGCHUN ECO-POWER TECHNOLOGY CO LTD-JOINT VENTURE,2019,,23.275,0,2,40,0.49,,12.5115383,1,10,20,1999,,1,,3699,3.65,0,27922Y,1,1,0,1,3.7136,1
ECOTALITY INC/CHANGCHUN ECO-POWER TECHNOLOGY CO LTD-JOINT VENTURE,2020,,23.275,0,2,40,0.49,,12.5115383,1,10,21,1999,,1,,3699,3.65,0,27922Y,1,1,0,1,3.7136,1
ECOTALITY INC/CHANGCHUN ECO-POWER TECHNOLOGY CO LTD-JOINT VENTURE,2021,,23.275,0,2,40,0.49,,12.5115383,1,10,22,1999,,1,,3699,3.65,0,27922Y,1,1,0,1,3.7136,1
ECOTALITY INC/CHANGCHUN ECO-POWER TECHNOLOGY CO LTD-JOINT VENTURE,2022,,23.275,0,2,40,0.49,,12.5115383,1,10,23,1999,,1,,3699,3.65,0,27922Y,1,1,0,1,3.7136,1
ECOTALITY INC/CHANGCHUN ECO-POWER TECHNOLOGY CO LTD-JOINT VENTURE,2023,,23.275,0,2,40,0.49,,12.5115383,1,10,24,1999,,1,,3699,3.65,0,27922Y,1,1,0,1,3.7136,1
ECOTALITY INC/CHANGCHUN ECO-POWER TECHNOLOGY CO LTD-JOINT VENTURE,2024,,23.275,0,2,40,0.49,,12.5115383,1,10,25,1999,,1,,3699,3.65,0,27922Y,1,1,0,1,3.7136,1
SAGE AUTOMOTIVE INTERIORS INC/WUHAN BOQI DECORATIVE FABRIC CO LTD-JOINT VENTURE,2015,,0.615384615,1,2,39,0.5,,0.185843094,1,529,6,2009,,1,,2221,3.65,1,38284V,0,0.051282051,0,0,3.688879454,0.051282051
SAGE AUTOMOTIVE INTERIORS INC/WUHAN BOQI DECORATIVE FABRIC CO LTD-JOINT VENTURE,2016,,0.615384615,1,3,39,0.5,,0.185843094,1,529,7,2009,,1,,2221,3.65,1,38284V,0,0.051282051,0,0,3.688879454,0.5
SAGE AUTOMOTIVE INTERIORS INC/WUHAN BOQI DECORATIVE FABRIC CO LTD-JOINT VENTURE,2017,,0.615384615,1,4,39,0.5,,0.185843094,1,529,8,2009,,1,,2221,3.65,1,38284V,0,0.051282051,0,0,3.688879454,0
SAGE AUTOMOTIVE INTERIORS INC/WUHAN BOQI DECORATIVE FABRIC CO LTD-JOINT VENTURE,2018,,0.615384615,0,5,39,0.5,,0.185843094,1,529,9,2009,,1,,2221,3.65,1,38284V,0,0.051282051,0,1,3.688879454,0.090909091
SAGE AUTOMOTIVE INTERIORS INC/WUHAN BOQI DECORATIVE FABRIC CO LTD-JOINT VENTURE,2019,,0.615384615,0,6,39,0.5,,0.185843094,1,529,10,2009,,1,,2221,3.65,1,38284V,0,0.051282051,0,1,3.688879454,0.105263158
SAGE AUTOMOTIVE INTERIORS INC/WUHAN BOQI DECORATIVE FABRIC CO LTD-JOINT VENTURE,2020,,0.615384615,0,7,39,0.5,,0.185843094,1,529,11,2009,,1,,2221,3.65,1,38284V,0,0.051282051,0,1,3.688879454,0.068965517
SAGE AUTOMOTIVE INTERIORS INC/WUHAN BOQI DECORATIVE FABRIC CO LTD-JOINT VENTURE,2021,,0.615384615,0,8,39,0.5,,0.185843094,1,529,12,2009,,1,,2221,3.65,1,38284V,0,0.051282051,0,1,3.688879454,0.04
SAGE AUTOMOTIVE INTERIORS INC/WUHAN BOQI DECORATIVE FABRIC CO LTD-JOINT VENTURE,2022,,0.615384615,0,9,39,0.5,,0.185843094,1,529,13,2009,,1,,2221,3.65,1,38284V,0,0.051282051,0,1,3.688879454,0
SAGE AUTOMOTIVE INTERIORS INC/WUHAN BOQI DECORATIVE FABRIC CO LTD-JOINT VENTURE,2023,,0.615384615,0,10,39,0.5,,0.185843094,1,529,14,2009,,1,,2221,3.65,1,38284V,0,0.051282051,0,1,3.688879454,0
SAGE AUTOMOTIVE INTERIORS INC/WUHAN BOQI DECORATIVE FABRIC CO LTD-JOINT VENTURE,2024,,0.615384615,0,11,39,0.5,,0.185843094,1,529,15,2009,,1,,2221,3.65,1,38284V,0,0.051282051,0,1,3.688879454,0
FIRSTRONIC LLC/MAXWAY TECHNOLOGY CO LTD-JOINT VENTURE,2015,,0,1,2,1,0.5,,-1.047967203,1,787,35,1980,0.015053204,0,0.015053204,3679,3.65,1,4A5941,1,1,0,0,0.6931,1
FIRSTRONIC LLC/MAXWAY TECHNOLOGY CO LTD-JOINT VENTURE,2016,,0,1,3,1,0.5,,-1.047967203,1,787,36,1980,0.015053204,0,0.015053204,3679,3.65,1,4A5941,1,1,0,0,0.6931,1
FIRSTRONIC LLC/MAXWAY TECHNOLOGY CO LTD-JOINT VENTURE,2017,,0,1,4,1,0.5,,-1.047967203,1,787,37,1980,0.015053204,0,0.015053204,3679,3.65,1,4A5941,1,1,0,0,0.6931,1
FIRSTRONIC LLC/MAXWAY TECHNOLOGY CO LTD-JOINT VENTURE,2018,,0,0,5,1,0.5,,-1.047967203,1,787,38,1980,0.015053204,0,0.015053204,3679,3.65,1,4A5941,1,1,0,1,0.6931,1
